latitude,longitude,altitude,geometry,id,type,league,slug,location,name,nickname,abbreviation,displayName,shortDisplayName,color,alternateColor,isActive,logo,athletesUrl,venueUrl,venueId,venueName,venueCity,venueState,venueCountry,venueAddress
33.7483,-84.3911,,Point,1,basketball,nba,atlanta-hawks,Atlanta,Hawks,,ATL,Atlanta Hawks,Hawks,c8102e,fdb927,true,https://a.espncdn.com/i/teamlogos/nba/500/atl.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/1/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1827?lang=en&region=us,1827,State Farm Arena,Atlanta,GA,USA,"Atlanta, GA USA"
42.3587,-71.0567,,Point,2,basketball,nba,boston-celtics,Boston,Celtics,,BOS,Boston Celtics,Celtics,008348,bb9753,true,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/2/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1824?lang=en&region=us,1824,TD Garden,Boston,MA,USA,"Boston, MA USA"
29.9537,-90.0777,,Point,3,basketball,nba,new-orleans-pelicans,New Orleans,Pelicans,,NO,New Orleans Pelicans,Pelicans,0a2240,b4975a,true,https://a.espncdn.com/i/teamlogos/nba/500/no.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/3/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/985?lang=en&region=us,985,Smoothie King Center,New Orleans,LA,USA,"New Orleans, LA USA"
41.8843,-87.6324,,Point,4,basketball,nba,chicago-bulls,Chicago,Bulls,,CHI,Chicago Bulls,Bulls,ce1141,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/chi.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/4/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1847?lang=en&region=us,1847,United Center,Chicago,IL,USA,"Chicago, IL USA"
41.5047,-81.6907,,Point,5,basketball,nba,cleveland-cavaliers,Cleveland,Cavaliers,,CLE,Cleveland Cavaliers,Cavaliers,860038,bc945c,true,https://a.espncdn.com/i/teamlogos/nba/500/cle.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/5/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3417?lang=en&region=us,3417,Rocket Mortgage FieldHouse,Cleveland,OH,USA,"Cleveland, OH USA"
32.7782,-96.7951,,Point,6,basketball,nba,dallas-mavericks,Dallas,Mavericks,,DAL,Dallas Mavericks,Mavericks,0064b1,bbc4ca,true,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/6/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/516?lang=en&region=us,516,American Airlines Center,Dallas,TX,USA,"Dallas, TX USA"
39.74,-104.992,,Point,7,basketball,nba,denver-nuggets,Denver,Nuggets,,DEN,Denver Nuggets,Nuggets,0e2240,fec524,true,https://a.espncdn.com/i/teamlogos/nba/500/den.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/7/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/892?lang=en&region=us,892,Ball Arena,Denver,CO,USA,"Denver, CO USA"
42.3317,-83.048,,Point,8,basketball,nba,detroit-pistons,Detroit,Pistons,,DET,Detroit Pistons,Pistons,1d428a,c8102e,true,https://a.espncdn.com/i/teamlogos/nba/500/det.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/8/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/5311?lang=en&region=us,5311,Little Caesars Arena,,,,Detroit
37.8051,-122.2731,,Point,9,basketball,nba,golden-state-warriors,Golden State,Warriors,,GS,Golden State Warriors,Warriors,1d428a,fdb927,true,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/9/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2465?lang=en&region=us,2465,ORACLE Arena,Oakland,CA,USA,"Oakland, CA USA"
29.7608,-95.3695,,Point,10,basketball,nba,houston-rockets,Houston,Rockets,,HOU,Houston Rockets,Rockets,ce1141,000000,true,https://a.espncdn.com/i/teamlogos/nba/500/hou.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/10/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1394?lang=en&region=us,1394,Toyota Center (Houston),Houston,TX,USA,"Houston, TX USA"
39.7669,-86.1501,,Point,11,basketball,nba,indiana-pacers,Indiana,Pacers,,IND,Indiana Pacers,Pacers,002d62,fdbb30,true,https://a.espncdn.com/i/teamlogos/nba/500/ind.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/11/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2183?lang=en&region=us,2183,Gainbridge Fieldhouse,Indianapolis,IN,USA,"Indianapolis, IN USA"
34.0536,-118.2454,,Point,12,basketball,nba,la-clippers,LA,Clippers,,LAC,LA Clippers,Clippers,1d428a,c8102e,true,https://a.espncdn.com/i/teamlogos/nba/500/lac.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/12/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1841?lang=en&region=us,1841,crypto.com Arena,Los Angeles,CA,USA,"Los Angeles, CA USA"
34.0536,-118.2454,,Point,13,basketball,nba,los-angeles-lakers,Los Angeles,Lakers,,LAL,Los Angeles Lakers,Lakers,552583,fdb927,true,https://a.espncdn.com/i/teamlogos/nba/500/lal.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/13/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1841?lang=en&region=us,1841,crypto.com Arena,Los Angeles,CA,USA,"Los Angeles, CA USA"
25.7748,-80.1977,,Point,14,basketball,nba,miami-heat,Miami,Heat,,MIA,Miami Heat,Heat,98002e,f9a01b,true,https://a.espncdn.com/i/teamlogos/nba/500/mia.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/14/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3438?lang=en&region=us,3438,Kaseya Center,Miami,FL,USA,"Miami, FL USA"
43.0422,-87.9069,,Point,15,basketball,nba,milwaukee-bucks,Milwaukee,Bucks,,MIL,Milwaukee Bucks,Bucks,00471b,eee1c6,true,https://a.espncdn.com/i/teamlogos/nba/500/mil.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/15/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2099?lang=en&region=us,2099,BMO Harris Bradley Center,Milwaukee,WI,USA,"Milwaukee, WI USA"
44.979,-93.2649,,Point,16,basketball,nba,minnesota-timberwolves,Minnesota,Timberwolves,,MIN,Minnesota Timberwolves,Timberwolves,266092,79bc43,true,https://a.espncdn.com/i/teamlogos/nba/500/min.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/16/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/2029?lang=en&region=us,2029,Target Center,Minneapolis,MN,USA,"Minneapolis, MN USA"
40.732,-74.1742,,Point,17,basketball,nba,brooklyn-nets,Brooklyn,Nets,,BKN,Brooklyn Nets,Nets,000000,ffffff,true,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/17/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1826?lang=en&region=us,1826,Prudential Center,Newark,NJ,USA,"Newark, NJ USA"
40.7145,-74.0071,,Point,18,basketball,nba,new-york-knicks,New York,Knicks,,NY,New York Knicks,Knicks,1d428a,f58426,true,https://a.espncdn.com/i/teamlogos/nba/500/ny.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/18/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1830?lang=en&region=us,1830,Madison Square Garden,New York,NY,USA,"New York, NY USA"
28.5382,-81.3774,,Point,19,basketball,nba,orlando-magic,Orlando,Magic,,ORL,Orlando Magic,Magic,0077c0,c4ced4,true,https://a.espncdn.com/i/teamlogos/nba/500/orl.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/19/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/3432?lang=en&region=us,3432,Amway Center,Orlando,FL,USA,"Orlando, FL USA"
39.9522,-75.1622,,Point,20,basketball,nba,philadelphia-76ers,Philadelphia,76ers,,PHI,Philadelphia 76ers,76ers,1d428a,e01234,true,https://a.espncdn.com/i/teamlogos/nba/500/phi.png,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/seasons/2023/teams/20/athletes?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/nba/venues/1845?lang=en&region=us,1845,Wells Fargo Center,Philadelphia,PA,USA,"Philadelphia, PA USA"
