latitude,longitude,altitude,geometry,id,type,firstName,lastName,weight,displayWeight,height,displayHeight,age,dateOfBirth,debutYear,headshotUrl,jersey,positionName,positionDisplayName,birthCity,birthState,birthCountry,teamId,teamUrl,statsUrl,active,statusType,statusName,league,birthStateAbbr,country2Code
40.714,-73.83,,Point,4431679,basketball,Precious,Achiuwa,225,225 lbs,80,"6' 8""",23,1999-09-19T07:00:00.000Z,2020,https://a.espncdn.com/i/headshots/nba/players/full/4431679.png,5,Power Forward,PF,Queens,New York,United States,28,{api}basketball/leagues/nba/seasons/2023/teams/28?lang=en&region=us,{api}basketball/leagues/nba/athletes/4431679/statistics?lang=en&region=us,true,active,Active,nba,NY,US
-38.1352,176.2506,,Point,2991235,basketball,Steven,Adams,265,265 lbs,83,"6' 11""",29,1993-07-20T07:00:00.000Z,2013,https://a.espncdn.com/i/headshots/nba/players/full/2991235.png,4,Center,C,Rotorua,Bay of Plenty,New Zealand,29,{api}basketball/leagues/nba/seasons/2023/teams/29?lang=en&region=us,{api}basketball/leagues/nba/athletes/2991235/statistics?lang=en&region=us,true,active,Active,nba,,NZ
40.732,-74.1742,,Point,4066261,basketball,Bam,Adebayo,255,255 lbs,81,"6' 9""",25,1997-07-18T07:00:00.000Z,2017,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,13,Center,C,Newark,New Jersey,United States,14,{api}basketball/leagues/nba/seasons/2023/teams/14?lang=en&region=us,{api}basketball/leagues/nba/athletes/4066261/statistics?lang=en&region=us,true,active,Active,nba,NJ,US
39.1034,-94.5831,,Point,4397018,basketball,Ochai,Agbaji,215,215 lbs,77,"6' 5""",23,2000-04-20T07:00:00.000Z,,https://a.espncdn.com/i/headshots/nba/players/full/4397018.png,30,Guard,G,Kansas City,Missouri,United States,26,{api}basketball/leagues/nba/seasons/2023/teams/26?lang=en&region=us,{api}basketball/leagues/nba/athletes/4397018/statistics?lang=en&region=us,true,active,Active,nba,MO,US
28.1303,-15.4397,,Point,4593125,basketball,Santi,Aldama,215,215 lbs,83,"6' 11""",22,2001-01-10T08:00:00.000Z,,https://a.espncdn.com/i/headshots/nba/players/full/4593125.png,7,Power Forward,PF,Las Palmas,Islas Canarias,Spain,29,{api}basketball/leagues/nba/seasons/2023/teams/29?lang=en&region=us,{api}basketball/leagues/nba/athletes/4593125/statistics?lang=en&region=us,true,active,Active,nba,CN,ES
43.6535,-79.3839,,Point,4278039,basketball,Nickeil,Alexander-Walker,205,205 lbs,77,"6' 5""",24,1998-09-02T07:00:00.000Z,2019,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,9,Shooting Guard,SG,Toronto,Ontario,Canada,16,{api}basketball/leagues/nba/seasons/2023/teams/16?lang=en&region=us,{api}basketball/leagues/nba/athletes/4278039/statistics?lang=en&region=us,true,active,Active,nba,ON,CA
30.3315,-81.6562,,Point,3135045,basketball,Grayson,Allen,198,198 lbs,76,"6' 4""",27,1995-10-08T07:00:00.000Z,2018,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,12,Shooting Guard,SG,Jacksonville,Florida,United States,15,{api}basketball/leagues/nba/seasons/2023/teams/15?lang=en&region=us,{api}basketball/leagues/nba/athletes/3135045/statistics?lang=en&region=us,true,active,Active,nba,FL,US
30.509,-97.6772,,Point,4066328,basketball,Jarrett,Allen,243,243 lbs,81,"6' 9""",25,1998-04-21T07:00:00.000Z,,https://a.espncdn.com/i/headshots/nba/players/full/4066328.png,31,Center,C,Round Rock,Texas,United States,5,{api}basketball/leagues/nba/seasons/2023/teams/5?lang=en&region=us,{api}basketball/leagues/nba/athletes/4066328/statistics?lang=en&region=us,true,active,Active,nba,TX,US
40.6925,-73.9904,,Point,4277869,basketball,Jose,Alvarado,179,179 lbs,72,"6' 0""",25,1998-04-12T07:00:00.000Z,,https://a.espncdn.com/i/headshots/nba/players/full/4277869.png,15,Point Guard,PG,Brooklyn,New York,United States,3,{api}basketball/leagues/nba/seasons/2023/teams/3?lang=en&region=us,{api}basketball/leagues/nba/athletes/4277869/statistics?lang=en&region=us,true,active,Active,nba,NY,US
39.7778,-75.115,,Point,2993874,basketball,Kyle,Anderson,230,230 lbs,81,"6' 9""",29,1993-09-20T07:00:00.000Z,2014,https://a.espncdn.com/i/headshots/nba/players/full/2993874.png,5,Small Forward,SF,Fairview,New Jersey,United States,16,{api}basketball/leagues/nba/seasons/2023/teams/16?lang=en&region=us,{api}basketball/leagues/nba/athletes/2993874/statistics?lang=en&region=us,true,active,Active,nba,NJ,US
37.9761,23.7364,,Point,3032977,basketball,Giannis,Antetokounmpo,243,243 lbs,83,"6' 11""",28,1994-12-06T08:00:00.000Z,2013,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,34,Power Forward,PF,Athens,,Greece,15,{api}basketball/leagues/nba/seasons/2023/teams/15?lang=en&region=us,{api}basketball/leagues/nba/athletes/3032977/statistics?lang=en&region=us,true,active,Active,nba,,GR
37.9761,23.7364,,Point,3102533,basketball,Thanasis,Antetokounmpo,219,219 lbs,79,"6' 7""",30,1992-07-18T07:00:00.000Z,2015,https://a.espncdn.com/i/headshots/nba/players/full/3102533.png,43,Small Forward,SF,Athens,,Greece,15,{api}basketball/leagues/nba/seasons/2023/teams/15?lang=en&region=us,{api}basketball/leagues/nba/athletes/3102533/statistics?lang=en&region=us,true,active,Active,nba,,GR
40.7145,-74.0071,,Point,4432809,basketball,Cole,Anthony,185,185 lbs,75,"6' 3""",23,2000-05-15T07:00:00.000Z,2020,https://a.espncdn.com/i/headshots/nba/players/full/4432809.png,50,Point Guard,PG,New York,New York,United States,19,{api}basketball/leagues/nba/seasons/2023/teams/19?lang=en&region=us,{api}basketball/leagues/nba/athletes/4432809/statistics?lang=en&region=us,true,active,Active,nba,NY,US
